//Golden Streams|~~|nn nnps|~~|1/1 1|~~|0 0
The whole room was filled with the thunder and flood|~~|dt jj nn vbd vbn in dt nn cc nn|~~|0 1 1 1 1 1 0 1/0 1 1|~~|89 0 0 4 0 13 89 0 47 0
 With just one chord, the thrill and clarity of sound|~~|nn rb cd nn , dt nn cc nn in nn|~~|1 1 1 1 , 0 1 1 1/0/0 1 1|~~|0 9 6 0 0 89 0 47 0 26 0
But soon the song went slowly dead|~~|cc rb dt nn vbd rb jj|~~|1 1 0 1 1 1/0 1|~~|5 0 89 0 0 0 0
 And I was forced to take a stand on one side|~~|nn nnp vbd vbn to vb dt nn in cd nn|~~|1 1 1 1 1 1 1 1 1 1 1|~~|0 57 4 1 51 4 43 0 29 6 0
 It was him or my fag hag, oh, well I guess, she was never that good of a friend|~~|nn vbd prp cc prp$ nn nn , uh , nn vbp , prp vbd rb in jj in dt nn|~~|1 1 1 1 1 1 1 , 1 , 1/1 1 , 1 1 1/0 1 1 1 1 1|~~|0 4 2 6 22 0 0 0 6 0 0 0 0 0 4 0 15 1 26 43 0
After my fag hag friend had fled  the minister looked mighty fed and content |~~|in prp$ nn nn nn vbd nn dt nn vbd jj vbn cc nn  |~~|1/0 1 1 1 1 1 1 0 1/0/0 1 1/0 1 1 0/1  |~~|0 22 0 0 0 0 0 89 0 0 0 0 47 0 0
We said his rewritten vows that I could hardly pronounce |~~|prp vbd prp$ vbn vbz in nnp md rb vb  |~~|1 1 1 0/1/0 1 1 1 1 1/0 0/1  |~~|23 0 16 0 0 15 57 1 0 0 0
But was soon drowned it out by that organ and the shout of|~~|cc vbd rb vbn prp in in in nn cc dt nn in|~~|1 1 1 1 1 1 1 1 1/0 1 0 1 1|~~|5 4 0 0 11 5 6 15 0 47 89 0 26
Ban marriage, ban marriage|~~|nnp nn , nn nn|~~|1 1/0 , 1 1/0|~~|0 0 0 0 0
 Ban marriage, ban marriage|~~|nn nn , nn nn|~~|1 1/0 , 1 1/0|~~|0 0 0 0 0
The congregation, stunned and dumbed  looked upon me with an innocuous stare|~~|dt nn , vbd cc nn vbd in prp in dt jj vb|~~|0 1/0/1/0 , 1 1 1/1 1 0/1 1 1 1 0/1/0/0 1|~~|89 0 0 0 47 0 0 0 14 13 6 0 0
 I wept and on my knees I prayed that|~~|nn vbd cc in prp$ nns nnp vbd in|~~|1 1 1 1 1 1 1 1 1|~~|0 0 47 29 22 0 57 0 15
There be truth and there be light in my day|~~|ex vb nn cc ex vb nn in prp$ nn|~~|1 1 1 1 1 1 1 0 1 1|~~|2 46 0 47 2 46 0 38 22 4
In my hungover daze, I felt the thunder of God|~~|in prp$ nn nn , nnp vbd dt nn in nnp|~~|0 1 1/1/1 1 , 1 1 0 1/0 1 1|~~|38 22 0 0 0 57 0 89 0 26 0
 It was the orders that I take the wrath upon my own rod |~~|nn vbd dt nns in nnp vb dt nn in prp$ jj nn  |~~|1 1 0 1/0 1 1 1 0 1 0/1 1 1 1  |~~|0 4 89 1 15 57 4 89 0 0 22 4 0 0
Then I repeated my own vows |~~|rb nnp vbn prp$ jj vbz  |~~|1 1 0/1/0 1 1 1  |~~|6 57 0 22 4 0 0
They were perverted and they smelled of myself|~~|prp vbd vbn cc prp vbd in prp|~~|1 0 0/1/0 1 1 1 1 1/1|~~|4 0 0 47 4 0 26 0
That there is splendor in the harshness of bum|~~|in ex vbz nn in dt nn in nn|~~|1 1 1 1/0 0 0 1/0 1 1|~~|15 2 15 0 38 89 0 26 0
 That consummation makes a grumble |~~|nn nn vbz dt nn  |~~|1 1/0/1/0 1 1 1/0  |~~|0 0 0 43 0 0
And the sound that I have learned called|~~|cc dt nn in nnp vbp vbd vbn|~~|1 0 1 1 1 1 1 1|~~|47 89 0 15 57 5 0 0
Ban marriage, ban marriage |~~|nnp nn , nn nn  |~~|1 1/0 , 1 1/0  |~~|0 0 0 0 0 0
Ban marriage, ban marriage |~~|nnp nn , nn nn  |~~|1 1/0 , 1 1/0  |~~|0 0 0 0 0 0
Ban marriage, ban it all|~~|nnp nn , nn prp dt|~~|1 1/0 , 1 1 1|~~|0 0 0 0 11 15
|~~||~~||~~|
//A miracle|~~|nn nn|~~|1 1/0/0|~~|43 1
|~~||~~||~~|
Sent from god |~~|vbd in nn  |~~|1 1 1  |~~|0 13 0 0
A holy visit |~~|dt rb nn  |~~|1 1/0 1/0  |~~|43 1 0 0
I wake up in the night |~~|nnp nn in in dt nn  |~~|1 1 1 0 0 1  |~~|57 0 3 38 89 6 0
"What is it" |~~|" wp vbz prp "  |~~|" 1 1 1 "  |~~|0 9 15 11 0 0
I'm startled and I'm cold and I believe that I have problems in my dreams |~~|nnp vbn cc nnp nn nnp vbp in nnp vbp nns in prp$ nns  |~~|1 1/0 1 1 1/1 1 0/1 1 1 1 1/0 0 1 1  |~~|8 0 47 8 0 57 1 15 57 5 0 38 22 1 0
