//Golden Streams|~~|nn nnps|~~|1/1 1|~~|0 0
If I ever stop needing it|~~|in nnp rb vb vbg prp|~~|1 1 1/0 1 1/0 1|~~|12 57 0 0 0 11
may I be thrown into the throes of toil|~~|md nnp vb vbn in dt nns in vbp|~~|1 1 1 1 0/1 0 1 1 1|~~|3 57 46 0 4 89 0 26 0
|~~||~~||~~|
Let my fall, let my fall on you|~~|vb prp$ nn , vb prp$ nn in prp|~~|1 1 1 , 1 1 1 1 1|~~|1 22 0 0 1 22 0 29 19
Tame my feet, I'll rope my knees 'round you|~~|jj prp$ nns , nnp nn prp$ nns nn prp|~~|1 1 1 , 1 1 1 1 1 1|~~|0 22 2 0 6 0 22 0 0 19
It ain't my fault, no, it ain't my fault, oh no|~~|prp nn prp$ nn , dt , prp nn prp$ nn , uh dt|~~|1 1 1 1 , 1 , 1 1 1 1 , 1 1|~~|11 2 22 0 0 5 0 11 2 22 0 0 6 5
You broke the whole, you broke the whole, oh you|~~|prp vbd dt jj , prp vbd dt jj , uh prp|~~|1 1 0 1 , 1 1 0 1 , 1 1|~~|19 1 89 0 0 19 1 89 0 0 6 19
|~~||~~||~~|
All is nothing|~~|dt nns nn|~~|1 1 1/0|~~|15 15 1
It creates a sore|~~|prp vbz dt jj|~~|1 0/1 1 1|~~|11 0 43 0
It takes my all to love it|~~|prp vbz prp$ dt to nn prp|~~|1 1 1 1 1 1 1|~~|11 2 22 15 51 2 11
and it relates to the end as we know|~~|cc prp vbz to dt nn in prp vb|~~|1 1 0/1 1 0 1 1 1 1|~~|47 11 0 51 89 1 7 23 4
|~~||~~||~~|
//That’s when the ceremony starts |~~|nns wrb dt nn vbz|~~|1 1 0 1/0/1/0 1|~~|1 9 89 0 0
|~~||~~||~~|
The spark in his eye was sign he was alive|~~|dt nn in prp$ nn vbd nn prp vbd jj|~~|0 1 0 1 1 1 1 1 1 0/1|~~|89 0 38 16 1 4 0 21 4 0
|~~||~~||~~|
I cleaned his feet to be complete|~~|nnp vbn prp$ nns to vb jj|~~|1 1 1 1 1 1 0/1|~~|57 0 16 2 51 46 0
|~~||~~||~~|
I drank from the wine that came from inside|~~|nnp vbd in dt nn in vbd in in|~~|1 1 1 0 1 1 1 1 0/1|~~|57 0 13 89 1 15 0 13 0
The heart of his meat and the splurge of his sweet|~~|dt nn in prp$ nn cc dt nn in prp$ jj|~~|0 1 1 1 1 1 0 1 1 1 1|~~|89 0 26 16 0 47 89 0 26 16 0
|~~||~~||~~|
That's when the ceremony starts|~~|nnps wrb dt nn vbz|~~|1 1 0 1/0/1/0 1|~~|1 9 89 0 0
|~~||~~||~~|
I hold the cup to my breast as he wets my neck|~~|nnp vb dt nn to prp$ nn in prp nns prp$ nn|~~|1 1 0 1 1 1 1 1 1 1 1 1|~~|57 4 89 0 51 22 0 7 21 0 22 0
|~~||~~||~~|
There's a book and a blade then to alternate|~~|nnps dt nn cc dt nn rb to jj|~~|1/1 1 1 1 1 1 1 1 1/0/1|~~|1 43 0 47 43 0 6 51 0
|~~||~~||~~|
Think of the wind in his eyes and of suicide|~~|vbp in dt nn in prp$ nns cc in nn|~~|1 1 0 1 0 1 1 1 1 1/0/1|~~|0 26 89 0 38 16 2 47 26 0
With poppers blind, it's wedged inside|~~|in nns jj , nns vbn in|~~|1 1/1 1 , 1 1 0/1|~~|13 0 0 0 2 0 0
|~~||~~||~~|
I beg and plead to be underneath|~~|nnp vbp cc vb to vb in|~~|1 1 1 1 1 1 1/0/1|~~|57 1 47 1 51 46 0
The man with bread who wakens me|~~|dt nn in nn wp nns prp|~~|0 1 1 1 1 1/1 1|~~|89 2 13 1 7 0 14
He curls his breath and turns the dead|~~|prp vbz prp$ nn cc vbz dt jj|~~|1 1 1 1 1 1 0 1|~~|21 0 16 0 47 1 89 0
It winds inside to fertilize|~~|prp vbz in to nn|~~|1 1 0/1 1 1/1/1|~~|11 0 0 51 0
|~~||~~||~~|
That's when the ceremony starts|~~|nnps wrb dt nn vbz|~~|1 1 0 1/0/1/0 1|~~|1 9 89 0 0
|~~||~~||~~|
With a wreath and a sigh and a veil and a thigh|~~|in dt nn cc dt nn cc dt nn cc dt nn|~~|1 1 1 1 1 1 1 1 1 1 1 1|~~|13 43 0 47 43 0 47 43 0 47 43 0
|~~||~~||~~|
The comfort brief, impure, and sweet|~~|dt nn jj , jj , cc jj|~~|0 1/0 1 , 0/1 , 1 1|~~|89 0 0 0 0 0 47 0
|~~||~~||~~|
To burn incense and break the bread|~~|to vb nn cc vb dt nn|~~|1 1 0/1 1 1 0 1|~~|51 0 0 47 0 89 1
With honey spread, his warmth, his chest|~~|in nn nn , prp$ nn , prp$ nn|~~|1 1/0 1 , 1 1 , 1 1|~~|13 0 0 0 16 2 0 16 0
|~~||~~||~~|
He blushes and bleeds, he breathes then feeds|~~|prp nns cc nns , prp vbz rb vbz|~~|1 1/0 1 1 , 1 1 1 1|~~|21 0 47 0 0 21 0 6 1
It was the spark in his eye that was sign he'd survived|~~|prp vbd dt nn in prp$ nn in vbd nn nn vbd|~~|1 1 0 1 0 1 1 1 1 1 1 0/1|~~|11 4 89 0 38 16 1 15 4 0 2 0
|~~||~~||~~|
That's when the ceremony starts|~~|nnps wrb dt nn vbz|~~|1 1 0 1/0/1/0 1|~~|1 9 89 0 0
|~~||~~||~~|
It was the spark in his eye that was sign he'd survived|~~|prp vbd dt nn in prp$ nn in vbd nn nn vbd|~~|1 1 0 1 0 1 1 1 1 1 1 0/1|~~|11 4 89 0 38 16 1 15 4 0 2 0
|~~||~~||~~|
//Music is my boyfriend|~~|nn vbz prp$ nn|~~|1/1 1 1 1/1|~~|0 15 22 0
|~~||~~||~~|
I found music|~~|nnp vbd nn|~~|1 1 1/0|~~|57 0 0
and he found me|~~|cc prp vbd prp|~~|1 1 1 1|~~|47 21 0 14
I gave him some tambourine |~~|nnp vbd prp dt nn|~~|1 1 1 1 1/0/1|~~|57 0 2 0 0
he game me a scream|~~|prp nn prp dt nn|~~|1 1 1 1 1|~~|21 0 14 43 1
I washed his dirty underwear|~~|nnp vbn prp$ jj nn|~~|1 1 1 1/0 1/0/1|~~|57 0 16 0 0
he made me toast|~~|prp vbn prp nn|~~|1 1 1 1|~~|21 1 14 0
Music filled my mug with Vaseline|~~|nnp vbn prp$ nn in nnp|~~|1/0 1 1 1 1 1/1/1|~~|0 0 22 0 13 0
I gave him a choke|~~|nnp vbd prp dt nn|~~|1 1 1 1 1|~~|57 0 2 43 0
|~~||~~||~~|
We could be happy|~~|prp md vb jj|~~|1 1 1 1/0|~~|23 1 46 0
we could be free|~~|prp md vb jj|~~|1 1 1 1|~~|23 1 46 2
If we don't make-out|~~|in prp nn nn|~~|1 1 1 1/1|~~|12 23 7 0
or fall in love|~~|cc nn in nn|~~|1 1 0 1|~~|6 0 38 2
|~~||~~||~~|
I found music|~~|nnp vbd nn|~~|1 1 1/0|~~|57 0 0
and he found me|~~|cc prp vbd prp|~~|1 1 1 1|~~|47 21 0 14
bleeding from my fingers and knees|~~|vbg in prp$ nns cc nns|~~|1/0 1 1 1/0 1 1|~~|0 13 22 1 47 0
plugged into a drum machine|~~|vbn in dt nn nn|~~|1 0/1 1 1 0/1|~~|0 4 43 0 0
nailed to my head: a tambourine|~~|vbn to prp$ nn : dt nn|~~|1 1 1 1 : 1 1/0/1|~~|0 51 22 3 0 43 0
and a guitar laced to my waist|~~|cc dt nn vbn to prp$ nn|~~|1 1 0/1 1 1 1 1|~~|47 43 1 0 51 22 0
Stone cold fever:|~~|nnp jj nn :|~~|1 1 1/0 :|~~|0 0 0 0
an internal melody|~~|dt jj nn|~~|1 0/1/0 1/0/0|~~|6 0 0
|~~||~~||~~|
Guitars make me happy|~~|nnps vb prp jj|~~|0/1 1 1 1/0|~~|0 1 14 0
drum beats make us all free|~~|vb vbz vb prp dt jj|~~|1 1 1 1 1 1|~~|0 0 1 1 15 2
solid as a rock lover|~~|jj in dt nn nn|~~|1/0 1 1 1 1/0|~~|0 7 43 0 0
is the music in me|~~|vbz dt nn in prp|~~|1 0 1/0 0 1|~~|15 89 0 38 14
|~~||~~||~~|
I found music and he found me:|~~|nnp vbd nn cc prp vbd prp :|~~|1 1 1/0 1 1 1 1 :|~~|57 0 0 47 21 0 14 0
a balding head-banging pre-teen|~~|dt jj nn nn|~~|1 1/0 1/1/1 1/1|~~|43 0 0 0
so he seduced me in a dream:|~~|rb prp vbn prp in dt nn :|~~|1 1 0/1 1 0 1 1 :|~~|1 21 0 14 38 43 1 0
I kissed his ugly gangly greens|~~|nnp vbd prp$ rb rb nns|~~|1 1 1 1/0 1/1 1|~~|57 0 16 0 0 0
he swallowed my pee|~~|prp vbn prp$ nn|~~|1 1/0 1 1|~~|21 0 22 0
|~~||~~||~~|
We lived to be happy|~~|prp vbd to vb jj|~~|1 1 1 1 1/0|~~|23 0 51 46 0
and prayed to be free|~~|cc vbd to vb jj|~~|1 1 1 1 1|~~|47 0 51 46 2
but it was soon found out|~~|cc prp vbd rb vbd in|~~|1 1 1 1 1 1|~~|5 11 4 0 0 5
that my body is brief|~~|in prp$ nn vbz jj|~~|1 1 1/0 1 1|~~|15 22 1 15 0
|~~||~~||~~|
I found music|~~|nnp vbd nn|~~|1 1 1/0|~~|57 0 0
and he found me|~~|cc prp vbd prp|~~|1 1 1 1|~~|47 21 0 14
he kept me singing|~~|prp vbd prp vbg|~~|1 1 1 1/0|~~|21 0 14 0
to my dying day|~~|to prp$ vbg nn|~~|1 1 1/0 1|~~|51 22 0 4
|~~||~~||~~|
Sing to be happy|~~|vb to vb jj|~~|1 1 1 1/0|~~|0 51 46 0
hum to be free|~~|nn to vb jj|~~|1 1 1 1|~~|0 51 46 2
the eternal harmony|~~|dt jj nn|~~|0 0/1/0 1/0/0|~~|89 0 0
music and me|~~|nn cc prp|~~|1/0 1 1|~~|0 47 14
All I want is to be in his movie and not just be old worms of yesterday.|~~|dt nnp vbp vbz to vb in prp$ nn cc rb rb vb jj nns in nn .|~~|1 1 1 1 1 1 0 1 1/0 1 1 1 1 1 1 1 1/0/1 .|~~|15 57 13 15 51 46 38 16 3 47 14 9 46 4 3 26 5 0
All I want is to be in his movie and not just be old worms of yesterday.|~~|dt nnp vbp vbz to vb in prp$ nn cc rb rb vb jj nns in nn .|~~|1 1 1 1 1 1 0 1 1/0 1 1 1 1 1 1 1 1/0/1 .|~~|15 57 13 15 51 46 38 16 3 47 14 9 46 4 3 26 5 0
|~~||~~||~~|
//We oh we|~~|nn uh prp|~~||~~|23 6 23
|~~||~~||~~|
All I want is to be in his movie and not just be old worms of yesteryear.|~~|dt nnp vbp vbz to vb in prp$ nn cc rb rb vb jj nns in nn .|~~|1 1 1 1 1 1 0 1 1/0 1 1 1 1 1 1 1 1/0/1 .|~~|15 57 13 15 51 46 38 16 3 47 14 9 46 4 3 26 2 0
All I want is to be under his covers and not simply be a time from yesterday.|~~|dt nnp vbp vbz to vb in prp$ vbz cc rb rb vb dt nn in nn .|~~|1 1 1 1 1 1 1/0 1 1/0 1 1 1/0 1 1 1 1 1/0/1 .|~~|15 57 13 15 51 46 2 16 2 47 14 2 46 43 5 13 5 0
All I want is to be in his movie and not just be old worms of yesteryear.|~~|dt nnp vbp vbz to vb in prp$ nn cc rb rb vb jj nns in nn .|~~|1 1 1 1 1 1 0 1 1/0 1 1 1 1 1 1 1 1/0/1 .|~~|15 57 13 15 51 46 38 16 3 47 14 9 46 4 3 26 2 0
All I want is to be under his covers and not simply be a time from yesterday.|~~|dt nnp vbp vbz to vb in prp$ vbz cc rb rb vb dt nn in nn .|~~|1 1 1 1 1 1 1/0 1 1/0 1 1 1/0 1 1 1 1 1/0/1 .|~~|15 57 13 15 51 46 2 16 2 47 14 2 46 43 5 13 5 0
|~~||~~||~~|
We oh we|~~|prp uh prp|~~|1 1 1|~~|23 6 23
We oh we|~~|prp uh prp|~~|1 1 1|~~|23 6 23
We oh we|~~|prp uh prp|~~|1 1 1|~~|23 6 23
|~~||~~||~~|
All I want is warmth from his smother and not just be frozen for an age.|~~|dt nnp vbp vbz nn in prp$ vb cc rb rb vb vbn in dt nn .|~~|1 1 1 1 1 1 1 1/0 1 1 1 1 1/0 1 1 1 .|~~|15 57 13 15 2 13 16 2 47 14 9 46 2 16 6 2 0
Oh my longing to be bare on your knee and that not just be home from yesterday.|~~|uh prp$ vbg to vb jj in prp$ nn cc in rb rb vb nn in nn .|~~|1 1 1/0 1 1 1 1 1 1 1 1 1 1 1 1 1 1/0/1 .|~~|6 22 2 51 46 2 29 26 2 47 15 14 9 46 3 13 5 0
All I want is warmth from his smother and not just be frozen for an age.|~~|dt nnp vbp vbz nn in prp$ vb cc rb rb vb vbn in dt nn .|~~|1 1 1 1 1 1 1 1/0 1 1 1 1 1/0 1 1 1 .|~~|15 57 13 15 2 13 16 2 47 14 9 46 2 16 6 2 0
Oh my longing to be bare on your knee and that not just be home from yesterday.|~~|uh prp$ vbg to vb jj in prp$ nn cc in rb rb vb nn in nn .|~~|1 1 1/0 1 1 1 1 1 1 1 1 1 1 1 1 1 1/0/1 .|~~|6 22 2 51 46 2 29 26 2 47 15 14 9 46 3 13 5 0
|~~||~~||~~|
We oh we|~~|prp uh prp|~~|1 1 1|~~|23 6 23
We oh we|~~|prp uh prp|~~|1 1 1|~~|23 6 23
We oh we|~~|prp uh prp|~~|1 1 1|~~|23 6 23
 |~~||~~||~~|0
//In the union of wine|~~|nn dt nn in nn|~~|1 0 1/0 1 1|~~|38 89 0 26 1
With fangs and red eyes I boast my hairy shrine |~~|in nns cc jj nns nnp vbp prp$ jj nn  |~~|1 1 1 1 1 1 1 1 1/0 1  |~~|13 0 47 1 2 57 0 22 0 0 0
The sky stained poo drab as the dad drives|~~|dt nn vbn nn jj in dt nn vbz|~~|0 1 1 1 1 1 0 1 1|~~|89 0 0 0 0 7 89 0 0
Through the blunder and the cold, the cassette survives|~~|in dt nn cc dt jj , dt nn vbz|~~|1 0 1/0 1 0 1 , 0 0/1 0/1|~~|1 89 0 47 89 0 0 89 0 0
 Brittle plastic, the tongue tied and my week's favorite find|~~|nn nn , dt nn vbn cc prp$ nns jj vb|~~|1/1 1/0 , 0 1 1 1 1 1 1/0/0 1|~~|0 0 0 89 0 0 47 22 0 0 0
  In the union of wine to be seen is to be blind |~~|nn dt nn in nn to vb vbn vbz to vb jj  |~~|1 0 1/0 1 1 1 1 1 1 1 1 1  |~~|0 89 0 26 1 51 46 0 15 51 46 0 0
The cassette is a lie, then to pause and to rewind |~~|dt nn vbz dt nn , rb to nn cc to nn  |~~|0 0/1 1 1 1 , 1 1 1 1 1 1/1  |~~|89 0 15 43 1 0 6 51 0 47 51 0 0
I tripped through his front door|~~|nnp vbd in prp$ nn nn|~~|1 1 1 1 1 1|~~|57 0 1 16 0 0
Entangled clothes  and bones as we lay warm  |~~|jj nn cc nns in prp vbd nn  |~~|0/1/0 1/1 1 1 1 1 1 1  |~~|0 0 47 2 7 23 0 0 0
He slaps my belly to a beat with a meaty groan |~~|prp vbz prp$ rb to dt nn in dt jj nn  |~~|1 1 1 1/0 1 1 1 1 1 1/0 1  |~~|21 0 22 0 51 43 0 13 43 0 0 0
We then finish with a feast, fellowship of beef |~~|prp rb vb in dt nn , nn in nn  |~~|1 1 1/0 1 1 1 , 1/0/1 1 1  |~~|23 6 0 13 43 0 0 0 26 0 0
In the union of wine, I may be lost but he is mine|~~|in dt nn in nn , nnp md vb vbd cc prp vbz nn|~~|0 0 1/0 1 1 , 1 1 1 1 1 1 1 1|~~|38 89 0 26 1 0 57 3 46 3 5 21 15 1
 To be on top from behind and the odor of the refined|~~|nn vb in jj in in cc dt nn in dt jj|~~|1 1 1 1 1 0/1 1 0 1/0 1 0 0/1|~~|0 46 29 0 13 0 47 89 0 26 89 0
  I wore out his radio|~~|nn vbd in prp$ nn|~~|1 1 1 1 1/0/1|~~|0 0 5 16 1
 It's like drinking in the cold with our cheapest find |~~|nn in vbg in dt jj in prp$ jjs vb  |~~|1 1 1/0 0 0 1 1 1/0 1/0 1  |~~|0 5 0 38 89 0 13 8 0 0 0
And the truth that may be told as we piss in rows |~~|cc dt nn in md vb vbd in prp vb in nns  |~~|1 0 1 1 1 1 1 1 1 1 0 1  |~~|47 89 0 15 3 46 1 7 23 0 38 0 0
That boy is entered on his side as he wonders why that |~~|in nn vbz vbd in prp$ nn in prp vbz wrb in  |~~|1 1 1 1/0 1 1 1 1 1 1/0 1 1  |~~|15 4 15 0 29 16 0 7 21 0 3 15 0
 In the union of wine, in my walkman I am blind|~~|nn dt nn in nn , in prp$ nn nnp vbp jj|~~|1 0 1/0 1 1 , 0 1 1/1 1 1 1|~~|0 89 0 26 1 0 38 22 0 57 2 0
 'Cause the cassette is a lie, to be born is to be blind|~~|nn dt nn vbz dt nn , to vb vbn vbz to vb jj|~~|1 0 0/1 1 1 1 , 1 1 1 1 1 1 1|~~|0 89 0 15 43 1 0 51 46 2 15 51 46 0
 In the union of wine he's neither bold nor even bright|~~|nn dt nn in nn nns dt jj cc rb jj|~~|1 0 1/0 1 1 1 1/0 1 1 1/0 1|~~|0 89 0 26 1 2 1 0 0 0 0
 In the union of wine he's neither bold nor even bright|~~|nn dt nn in nn nns dt jj cc rb jj|~~|1 0 1/0 1 1 1 1/0 1 1 1/0 1|~~|0 89 0 26 1 2 1 0 0 0 0
|~~||~~||~~|
//I want another enema|~~|nn vbp dt nn|~~|1 1 0/1/0 1/1/1|~~|57 13 0 0
I want another enema, nema, nema|~~|nnp vbp dt nn , nn , nn|~~|1 1 0/1/0 1/1/1 , 1/1 , 1/1|~~|57 13 0 0 0 0 0 0
Good waste is an oxymoron, moron, moron|~~|jj nn vbz dt nn , nn , nn|~~|1 1 1 1 1/1/1/1 , 1 , 1|~~|1 0 15 6 0 0 0 0 0
My body is an exit wound, oh my wounds, oh my wounds|~~|prp$ nn vbz dt nn nn , uh prp$ nns , uh prp$ nns|~~|1 1/0 1 1 1/0 1 , 1 1 1 , 1 1 1|~~|22 1 15 6 0 0 0 6 22 0 0 6 22 0
I want another enema, nema, nema|~~|nnp vbp dt nn , nn , nn|~~|1 1 0/1/0 1/1/1 , 1/1 , 1/1|~~|57 13 0 0 0 0 0 0
|~~||~~||~~|
Hunting hair to find emotional grace|~~|vbg nn to vb jj nn|~~|1/0 1 1 1 0/1/0/0 1|~~|0 0 51 0 0 0
|~~||~~||~~|
I am scared you'll see my body and know|~~|nnp vbp vbn nn vb prp$ nn cc vb|~~||~~|57 2 0 1 3 22 1 47 4
That removing hair has taken over my life|~~|in vbg nn vbz vbn in prp$ nn|~~|1 0/1/0 1 1 1/0 1/0 1 1|~~|15 0 0 0 0 0 22 3
And I don't know how to stop|~~|cc nnp nn vb wrb to vb|~~|1 1 1 1 1 1 1|~~|47 57 7 4 4 51 0
|~~||~~||~~|
I want another enema, nema, nema|~~|nnp vbp dt nn , nn , nn|~~|1 1 0/1/0 1/1/1 , 1/1 , 1/1|~~|57 13 0 0 0 0 0 0
Good waste is an oxymoron, moron, moron|~~|jj nn vbz dt nn , nn , nn|~~|1 1 1 1 1/1/1/1 , 1 , 1|~~|1 0 15 6 0 0 0 0 0
My body is an exit wound, oh my wounds, oh my wounds|~~|prp$ nn vbz dt nn nn , uh prp$ nns , uh prp$ nns|~~|1 1/0 1 1 1/0 1 , 1 1 1 , 1 1 1|~~|22 1 15 6 0 0 0 6 22 0 0 6 22 0
I want another enema, nema, nema|~~|nnp vbp dt nn , nn , nn|~~|1 1 0/1/0 1/1/1 , 1/1 , 1/1|~~|57 13 0 0 0 0 0 0
|~~||~~||~~|
On the rim of an emotional place|~~|in dt nn in dt jj nn|~~|1 0 1 1 1 0/1/0/0 1|~~|29 89 0 26 6 0 0
I fear you'll see my body and know|~~|nnp nn nn vb prp$ nn cc vb|~~||~~|57 0 1 3 22 1 47 4
That removing hair has taken over my life|~~|in vbg nn vbz vbn in prp$ nn|~~|1 0/1/0 1 1 1/0 1/0 1 1|~~|15 0 0 0 0 0 22 3
And I don't know how to stop|~~|cc nnp nn vb wrb to vb|~~|1 1 1 1 1 1 1|~~|47 57 7 4 4 51 0
|~~||~~||~~|
I want another enema, nema, nema |~~|nnp vbp dt nn , nn , nn|~~|1 1 0/1/0 1/1/1 , 1/1 , 1/1|~~|57 13 0 0 0 0 0 0
|~~||~~||~~|
I want another enema, nema, nema|~~|nnp vbp dt nn , nn , nn|~~|1 1 0/1/0 1/1/1 , 1/1 , 1/1|~~|57 13 0 0 0 0 0 0
Good waste is an oxymoron, moron, moron|~~|jj nn vbz dt nn , nn , nn|~~|1 1 1 1 1/1/1/1 , 1 , 1|~~|1 0 15 6 0 0 0 0 0
My body is an exit wound, oh my wounds, oh my wounds|~~|prp$ nn vbz dt nn nn , uh prp$ nns , uh prp$ nns|~~|1 1/0 1 1 1/0 1 , 1 1 1 , 1 1 1|~~|22 1 15 6 0 0 0 6 22 0 0 6 22 0
I want another enema, nema, nema|~~|nnp vbp dt nn , nn , nn|~~|1 1 0/1/0 1/1/1 , 1/1 , 1/1|~~|57 13 0 0 0 0 0 0
|~~||~~||~~|
On the brink of an impossible feat|~~|in dt nn in dt jj nn|~~|1 0 1 1 1 0/1/0/0 1|~~|29 89 0 26 6 0 0
I get scared you'll see my body|~~|nnp vb vbn nn vb prp$ nn|~~||~~|57 0 0 1 3 22 1
And know that hunting hair has taken over my life|~~|cc vb in vbg nn vbz vbn in prp$ nn|~~|1 1 1 1/0 1 1 1/0 1/0 1 1|~~|47 4 15 0 0 0 0 0 22 3
And I don't know how to stop|~~|cc nnp nn vb wrb to vb|~~|1 1 1 1 1 1 1|~~|47 57 7 4 4 51 0
|~~||~~||~~|
On the brink of an impossible feat|~~|in dt nn in dt jj nn|~~|1 0 1 1 1 0/1/0/0 1|~~|29 89 0 26 6 0 0
I get scared you'll see my body|~~|nnp vb vbn nn vb prp$ nn|~~||~~|57 0 0 1 3 22 1
And know that hunting hair has taken over my life|~~|cc vb in vbg nn vbz vbn in prp$ nn|~~|1 1 1 1/0 1 1 1/0 1/0 1 1|~~|47 4 15 0 0 0 0 0 22 3
And I don't know how to stop|~~|cc nnp nn vb wrb to vb|~~|1 1 1 1 1 1 1|~~|47 57 7 4 4 51 0
|~~||~~||~~|
I want another enema, nema, nema |~~|nnp vbp dt nn , nn , nn|~~|1 1 0/1/0 1/1/1 , 1/1 , 1/1|~~|57 13 0 0 0 0 0 0
|~~||~~||~~|
//I Believe In The Good Of Life|~~|nn vbp in dt jj in nnp|~~|1 0/1 0 0 1 1 1|~~|57 1 38 89 1 26 3
|~~||~~||~~|
I believe in the good of life|~~|nnp vbp in dt jj in nn|~~|1 0/1 0 0 1 1 1|~~|57 1 38 89 1 26 3
I believe in the good of life|~~|nnp vbp in dt jj in nn|~~|1 0/1 0 0 1 1 1|~~|57 1 38 89 1 26 3
I believe in the good|~~|nnp vbp in dt jj|~~|1 0/1 0 0 1|~~|57 1 38 89 1
I believe in the good|~~|nnp vbp in dt jj|~~|1 0/1 0 0 1|~~|57 1 38 89 1
I believe in the good of life|~~|nnp vbp in dt jj in nn|~~|1 0/1 0 0 1 1 1|~~|57 1 38 89 1 26 3
|~~||~~||~~|
I believe in the good of life as I kneel for a taste of man|~~|nnp vbp in dt jj in nn in nnp vb in dt nn in nn|~~|1 0/1 0 0 1 1 1 1 1 1 1 1 1 1 1|~~|57 1 38 89 1 26 3 7 57 0 16 43 2 26 2
I believe in the taste of wine as I do not step on a land mine|~~|nnp vbp in dt nn in nn in nnp vbp rb nn in dt nn nn|~~|1 0/1 0 0 1 1 1 1 1 1 1 1 1 1 1 1|~~|57 1 38 89 2 26 1 7 57 14 14 1 29 43 1 1
|~~||~~||~~|
I believe in the good of life as I kneel for a taste of man|~~|nnp vbp in dt jj in nn in nnp vb in dt nn in nn|~~|1 0/1 0 0 1 1 1 1 1 1 1 1 1 1 1|~~|57 1 38 89 1 26 3 7 57 0 16 43 2 26 2
I believe in the taste of wine as I do not step on a land mine|~~|nnp vbp in dt nn in nn in nnp vbp rb nn in dt nn nn|~~|1 0/1 0 0 1 1 1 1 1 1 1 1 1 1 1 1|~~|57 1 38 89 2 26 1 7 57 14 14 1 29 43 1 1
|~~||~~||~~|
I'll testify on the world of radio that I dream of the fate of democracy, as I flee on my bike from the crimes we made, and that I did not do those drugs or steal those army pants.|~~|nnp vb in dt nn in nn in nnp nn in dt nn in nn , in nnp vb in prp$ nn in dt nns prp vbn , cc in nnp vbd rb vbp dt nns cc vb dt nn nns .|~~|1 1/0/1 1 0 1 1 1/0/1 1 1 1 1 0 1 1 0/1/0/0 , 1 1 1 1 1 1 1 0 1 1 1 , 1 1 1 1 1 1 1 1 1 1 1 1/0 1 .|~~|6 1 29 89 7 26 1 15 57 1 26 89 3 26 1 0 7 57 1 29 22 1 13 89 1 23 1 0 47 15 57 1 14 14 2 1 6 1 2 1 2 0
|~~||~~||~~|
I believe in the good of life as I plead for a taste of man|~~|nnp vbp in dt jj in nn in nnp vb in dt nn in nn|~~|1 0/1 0 0 1 1 1 1 1 1 1 1 1 1 1|~~|57 1 38 89 1 26 3 7 57 1 16 43 2 26 2
I'm thirsty for a taste of wine as I do not step on a land mine|~~|nnp jj in dt nn in nn in nnp vbp rb nn in dt nn nn|~~|1 1/0 1 1 1 1 1 1 1 1 1 1 1 1 1 1|~~|8 1 16 43 2 26 1 7 57 14 14 1 29 43 1 1
|~~||~~||~~|
I'll testify on the world of radio that I dream of the fate of democracy, as I flee on my bike from the crimes we made, and that I did not do those drugs or steal those army pants.|~~|nnp vb in dt nn in nn in nnp nn in dt nn in nn , in nnp vb in prp$ nn in dt nns prp vbn , cc in nnp vbd rb vbp dt nns cc vb dt nn nns .|~~|1 1/0/1 1 0 1 1 1/0/1 1 1 1 1 0 1 1 0/1/0/0 , 1 1 1 1 1 1 1 0 1 1 1 , 1 1 1 1 1 1 1 1 1 1 1 1/0 1 .|~~|6 1 29 89 7 26 1 15 57 1 26 89 3 26 1 0 7 57 1 29 22 1 13 89 1 23 1 0 47 15 57 1 14 14 2 1 6 1 2 1 2 0
|~~||~~||~~|
I believe in the good of life as I kneel for a taste of man|~~|nnp vbp in dt jj in nn in nnp vb in dt nn in nn|~~|1 0/1 0 0 1 1 1 1 1 1 1 1 1 1 1|~~|57 1 38 89 1 26 3 7 57 0 16 43 2 26 2
I believe in the taste of wine as I do not step on a land mine|~~|nnp vbp in dt nn in nn in nnp vbp rb nn in dt nn nn|~~|1 0/1 0 0 1 1 1 1 1 1 1 1 1 1 1 1|~~|57 1 38 89 2 26 1 7 57 14 14 1 29 43 1 1
|~~||~~||~~|
I'll testify on the world of radio that I dream of the fate of democracy,|~~|nnp vb in dt nn in nn in nnp nn in dt nn in nn ,|~~|1 1/0/1 1 0 1 1 1/0/1 1 1 1 1 0 1 1 0/1/0/0 ,|~~|6 1 29 89 7 26 1 15 57 1 26 89 3 26 1 0
as I flee on my bike from the crimes we made,|~~|in nnp vb in prp$ nn in dt nns prp vbn ,|~~|1 1 1 1 1 1 1 0 1 1 1 ,|~~|7 57 1 29 22 1 13 89 1 23 1 0
and that I did not do those drugs or steal those army pants|~~|cc in nnp vbd rb vbp dt nns cc vb dt nn nns|~~|1 1 1 1 1 1 1 1 1 1 1 1/0 1|~~|47 15 57 1 14 14 2 1 6 1 2 1 2
|~~||~~||~~|
I believe in the good of life as I plead for a taste of man|~~|nnp vbp in dt jj in nn in nnp vb in dt nn in nn|~~|1 0/1 0 0 1 1 1 1 1 1 1 1 1 1 1|~~|57 1 38 89 1 26 3 7 57 1 16 43 2 26 2
