CensusTract,State,County,LAT,LON,Urban,Rural,housing units,total pop,pop 1 mile low access
36005014900,NY,Bronx,40.8326134,-73.9014781,1,0,1426,4591,0
36005015100,NY,Bronx,40.8310893,-73.8984757,1,0,1744,5409,0
36005015200,NY,Bronx,40.8262959,-73.8249969,1,0,901,2341,0
36005015300,NY,Bronx,40.8334461,-73.8941364,1,0,1381,4031,0
36005015500,NY,Bronx,40.8355959,-73.8899678,1,0,990,3005,0
36005015700,NY,Bronx,40.8329807,-73.8854505,1,0,1189,3580,0
36005015800,NY,Bronx,40.8248596,-73.818621,1,0,454,1206,0
36005015900,NY,Bronx,40.8223699,-73.8935569,1,0,681,2164,0
36005016000,NY,Bronx,40.8285742,-73.8135768,1,0,1550,3767,0
36005016100,NY,Bronx,40.836881,-73.8850118,1,0,1701,4380,0
36005016200,NY,Bronx,40.8288502,-73.8217593,1,0,580,1769,0
36005016300,NY,Bronx,40.8385749,-73.8950075,1,0,0,0,0
36005016400,NY,Bronx,40.8321977,-73.8248492,1,0,443,1141,0
36005016500,NY,Bronx,40.8430508,-73.9002115,1,0,364,1077,0
36005016600,NY,Bronx,40.8294074,-73.830366,1,0,762,2166,0
36005016700,NY,Bronx,40.840487,-73.9022078,1,0,654,2047,0
36005016900,NY,Bronx,40.8377899,-73.9027246,1,0,471,1663,0
36005017100,NY,Bronx,40.8403719,-73.9075096,1,0,0,0,0
36005017300,NY,Bronx,40.826296,-73.9165227,1,0,2020,5987,0
36005017500,NY,Bronx,40.8308225,-73.9136512,1,0,2470,6911,0
36005017701,NY,Bronx,40.8331958,-73.9111774,1,0,1243,4294,0
36005017702,NY,Bronx,40.8361778,-73.9095493,1,0,1590,4805,0
36005017901,NY,Bronx,40.834835,-73.9151866,1,0,1475,4677,0
36005017902,NY,Bronx,40.8370141,-73.9134989,1,0,1110,3587,0
36005018101,NY,Bronx,40.8316074,-73.9161112,1,0,1036,3300,0
36005018102,NY,Bronx,40.8322651,-73.9181383,1,0,1637,5555,0
36005018301,NY,Bronx,40.8286371,-73.9208133,1,0,1942,4525,0
36005018302,NY,Bronx,40.8279119,-73.9187521,1,0,1255,3647,0
36005018400,NY,Bronx,40.8374214,-73.8293008,1,0,1564,3855,0
36005018500,NY,Bronx,40.8267063,-73.9074678,1,0,2496,7466,0
36005018900,NY,Bronx,40.8317422,-73.9301593,1,0,2595,7752,0
36005019300,NY,Bronx,40.8363125,-73.929322,1,0,1969,5461,0
36005019400,NY,Bronx,40.8331364,-73.8363127,1,0,675,1903,0
36005019500,NY,Bronx,40.8304775,-73.9225235,1,0,2605,7756,0
36005019700,NY,Bronx,40.8352046,-73.9199777,1,0,2172,7501,0
36005019900,NY,Bronx,40.8367451,-73.925441,1,0,2689,8154,0
36005020000,NY,Bronx,40.8429687,-73.8455113,1,0,1566,4878,0
36005020100,NY,Bronx,40.8420908,-73.9270027,1,0,1264,4013,0
36005020200,NY,Bronx,40.8384912,-73.8475792,1,0,757,2155,0
36005020400,NY,Bronx,40.840856,-73.850871,1,0,1027,2976,0
36005020501,NY,Bronx,40.8473921,-73.9237042,1,0,2555,6996,0
36005020502,NY,Bronx,40.8513528,-73.9194602,1,0,663,1764,0
36005020601,NY,Bronx,40.8366233,-73.8505251,1,0,1112,3050,0
36005020900,NY,Bronx,40.8430677,-73.9150369,1,0,1614,4361,0
36005021001,NY,Bronx,40.8408055,-73.8582794,1,0,3954,8521,0
36005021002,NY,Bronx,40.8384723,-73.8565194,1,0,3070,6839,0
36005021100,NY,Bronx,40.8404508,-73.9234996,1,0,1841,5565,0
36005021200,NY,Bronx,40.8361225,-73.8589736,1,0,2269,5267,0
36005021301,NY,Bronx,40.8455082,-73.9197793,1,0,386,1201,0
36005021302,NY,Bronx,40.8429767,-73.9203643,1,0,1881,5415,0
36005021501,NY,Bronx,40.8494359,-73.9182368,1,0,1015,3506,0
36005021502,NY,Bronx,40.8480615,-73.9166862,1,0,1915,6051,0
36005021601,NY,Bronx,40.8375353,-73.86482,1,0,1536,4206,0
36005021602,NY,Bronx,40.8371834,-73.8622691,1,0,2498,5769,0
36005021700,NY,Bronx,40.8481946,-73.9132696,1,0,1703,5334,0
36005021800,NY,Bronx,40.8373904,-73.869755,1,0,2272,6499,0
36005021900,NY,Bronx,40.839647,-73.9196115,1,0,418,1367,0
36005022000,NY,Bronx,40.8434685,-73.8723309,1,0,430,1487,0
36005022101,NY,Bronx,40.8382736,-73.9181358,1,0,1144,3849,0
36005022102,NY,Bronx,40.8376823,-73.9160774,1,0,1611,5488,0
36005022200,NY,Bronx,40.8356844,-73.8552135,1,0,1159,3425,0
36005022300,NY,Bronx,40.8405428,-73.9150909,1,0,1741,5047,0
36005022401,NY,Bronx,40.8550171,-73.868507,1,0,1117,2708,0
36005022403,NY,Bronx,40.8564763,-73.8654304,1,0,1288,3188,0
36005022404,NY,Bronx,40.8527445,-73.8663009,1,0,1783,4509,0
36005022500,NY,Bronx,40.8401234,-73.9109711,1,0,2151,7698,0
36005022701,NY,Bronx,40.8468094,-73.9110498,1,0,1714,5196,0
36005022702,NY,Bronx,40.8444741,-73.9132423,1,0,604,1699,0
36005022703,NY,Bronx,40.8440198,-73.9104999,1,0,556,1556,0
36005022800,NY,Bronx,40.8534896,-73.8635363,1,0,2391,6218,0
36005022901,NY,Bronx,40.8461072,-73.9071728,1,0,1727,5370,0
36005022902,NY,Bronx,40.8437862,-73.9072135,1,0,1055,3273,0
36005023000,NY,Bronx,40.8492873,-73.8660154,1,0,1010,2950,0
36005023100,NY,Bronx,40.8461445,-73.9024996,1,0,424,1537,0
