headline 	 snippet 	 date
"Bob Teague, WNBC Reporter Who Helped Integrate TV News, Is Dead at 84"	"When he joined WNBC-TV, there were few black reporters. But Mr. Teague was eventually disillusioned with TV newscasts."	2013-03-29T00:00:00Z
"Eddie Bond, 79, Radio Host And Rockabilly Singer"	"Eddie Bond, a rockabilly singer and radio host who once told a teenage  Elvis Presley  that he would be better off driving a truck than trying to make it in music, died on Wednesday at his home in Bolivar, Tenn. He was 79.&#xa;   &#xa;His death was c"	2013-04-01T00:00:00Z
"Milo Oâ€™Shea, an Actor of the Stage and Screen, Dies at 86"	"Mr. Oâ€™Shea was an Irish actor known for his roles in films like â€œUlysses,â€ù â€œBarbarellaâ€ù and â€œThe Verdictâ€ù and plays like â€œStaircaseâ€ù and â€œMass Appeal.â€ù"	2013-04-04T00:00:00Z
"Sir Colin Davis, British Conductor, Dies at 85"	"Sir Colin left an indelible mark on the London Symphony Orchestra. He championed Sibelius and Berlioz, and  revived Mozart as a symphonic mainstay."	2013-04-14T22:24:11Z
"Colin Davis, a British Conductor Known for His Exuberant Approach, Dies at 85"	"Mr. Davis, the longest-serving principal conductor of the London Symphony Orchestra, brought enthusiasm and authority to his music-making."	2013-04-16T00:00:00Z
Making the Most of His Gifts and Flaws	"Pat Summerall, who died Tuesday at 82, had a rare ability to broadcast many sports while using few words. He also used his experience at the Betty Ford Center to help other alcoholics."	2013-04-18T00:00:00Z
"Errol Mann, Kicker for Champion Raiders, Dies at 71"	"Mr. Mann played 11 years in the N.F.L., which included a Super Bowl victory with Oakland in the 1976 season and eight years with the Detroit Lions."	2013-04-19T00:00:00Z
"Jimmy Dawkins, Chicago Blues Guitarist, Dies at 76"	"Mr. Dawkins, who did most of his touring in Europe and Japan, counted Buddy Guy and Eric Clapton among his fans."	2013-04-19T00:00:00Z
"Errol Mann, 71, a Top Place-Kicker in the N.F.L."	"Errol Mann, the place-kicker for the  Oakland Raiders  team that won the 1977  Super Bowl , died on April 11 at his home in Missoula, Mont. He was 71.&#xa;   &#xa;His death was confirmed by the Sunset Memorial Funeral Home. The cause was a heart atta"	2013-04-22T00:00:00Z
"Howard J. Phillips, Stalwart Conservative, Dies at 72"	Mr. Phillips could be a thorn in the side even of fellow Republicans for his devotion to ideological principles such as limited government and traditional family values.	2013-04-24T00:00:00Z
His Life Was a Country Song	"George Jonesâ€™s baritone singing, universally respected, found vulnerability and doubt behind the cheerful drive of honky-tonk."	2013-04-27T00:00:00Z
"Donald Shirley, a Pianist With His Own Genre, Dies at 86"	"Mr. Shirley, who was discouraged from pursuing a career in classical music because he was black, gathered many types of music under one umbrella."	2013-04-29T00:00:00Z
"Bob Brozman, Guitarist, Is Dead at 59"	Mr. Brozman was a self-described â€œroving guitar anthropologistâ€ù who collaborated with musicians from Northern Ireland to Papua New Guinea.	2013-05-02T00:00:00Z
"Mike Gray, â€˜China Syndromeâ€™ Writer, Dies at 77"	"Mr. Gray dealt with contemporary issues in his work, including race relations and American drug policy."	2013-05-04T00:00:00Z
"Taylor Mead, Bohemian and Actor, Dies at 88"	Mr. Mead collaborated with Andy Warhol in the 1960s to make several curious films.	2013-05-10T00:00:00Z
"George Sauer, Jets Receiver and Rebel, Is Dead at 69"	"Mr. Sauer, who was a wide receiver for the Jets, played a pivotal role in the teamâ€™s Super Bowl III win, but he grew to hate the life of a pro football player and retired at 27."	2013-05-11T00:00:00Z
"Kenneth Battelle, 86, Hairdresser to the Stars, Dies"	"Mr. Battelle, often called the first celebrity hairdresser, defined the styles of famous names like Audrey Hepburn, Marilyn Monroe and Jacqueline Kennedy."	2013-05-14T00:00:00Z
"A Racer Known to Many, and Now a Mystery"	"Long before he came to Nascar, Dick Trickle was a renowned driver in the Midwest. He died Thursday at age 71 from a self-inflicted gunshot wound."	2013-05-18T00:00:00Z
"Ken Venturi, U.S. Open Golf Champion and Broadcaster, Dies at 82"	"Mr. Venturi won the 1964 United States Open, nearly collapsing from heat exhaustion. He later became a chief golf analyst for CBS Sports, where he worked for 35 years."	2013-05-18T00:00:00Z
"Wayne Miller, Magnum Photographer, Dies at 94"	Mr. Miller once said that what he wanted to do was â€œto photograph mankind and explain man to man.â€ù	2013-05-25T00:00:00Z
"Bill Austin, 84, Pro Bowl Lineman, Dies"	"Mr. Austin, a 13th-round draft choice in 1949, played for the Giants for seven seasons and served as a coach for several N.F.L. teams."	2013-05-31T00:00:00Z
"William Demby, Author of Experimental Novels, Dies at 90"	Mr. Demby spent much of his career in Italy writing subtitles for Fellini and Rossellini movies.	2013-06-01T00:00:00Z
"Joey Covington, Rock Drummer, Dies at 67"	Mr. Covington was a replacement drummer for Jefferson Airplane and a founding member of Hot Tuna.	2013-06-08T00:00:00Z
"Miller Barber, 82, Golf Champion With Odd Swing, Dies"	Barber was a popular and successful player on the P.G.A. Tour in the 1960s and went on to dominate in the early years of senior tournament play.	2013-06-13T00:00:00Z
"Bruno Bartoletti, Maestro Who Shaped Lyric Opera of Chicago, Dies at 86"	Mr. Bartoletti was considered a superb interpreter of the 19th- and early-20th-century music of Italian masters.	2013-06-14T00:00:00Z
"Elliott Reid, Sleuth in â€˜Gentlemen Prefer Blondes,â€™ Dies at 93"	"Mr. Reid played Ernie Malone, a private detective hired to investigate Lorelei Lee, played by Marilyn Monroe."	2013-06-26T00:00:00Z
"William Hathaway, Senator From Maine, Dies at 89"	"Mr. Hathawayâ€™s 1972 election ended the career of his Republican opponent, Margaret Chase Smith, the first woman elected to both houses of Congress."	2013-06-26T00:00:00Z
"James Martin, Technology Consultant and Oxford Benefactor, Dies at 79"	Mr. Martin was an influential figure in information technology who used his fortune to study the problems and opportunities confronting the 21st-century world.	2013-07-03T00:00:00Z
"Philip Caldwell, First Nonfamily Member to Head Ford, Is Dead at 93"	"Outsiders were stunned when Henry Ford II dismissed Lee Iacocca as president of Ford Motor in 1977 and elevated Mr. Caldwell, who was nearly unknown outside the company."	2013-07-12T00:00:00Z
"George Duke, Keyboardist Who Crossed Genre Boundaries, Dies at 67"	"Mr. Duke started as a jazz pianist and later, at Frank Zappaâ€™s request, took up the synthesizer, the instrument that became his hallmark."	2013-08-08T00:00:00Z
"Roy Rubin, Who Led Record-Losing 76ers, Dies at 87"	"Mr. Rubin became the coach of the 1972-73 Philadelphia 76ers after a former assistant recommended him. He was fired after a 4-47 start, and the team finished 9-73."	2013-08-11T00:00:00Z
"Jack Germond, Political Reporter of the Old School, Dies at 85"	"A newspaper reporter, syndicated columnist and TV pundit who was one of the â€œBoys on the Busâ€ù for 10 presidential elections."	2013-08-15T00:00:00Z
"Lee Thompson Young, Detective on TV, Dies at 29"	Mr. Young was an actor who played a child star on the Disney Channel show â€œThe Famous Jett Jacksonâ€ù and a detective on the hit TNT series â€œRizzoli & Isles.â€ù	2013-08-20T00:00:00Z
"Cedar Walton, Pianist and Composer, Dies at 79"	Mr. Walton often said he preferred the role of accompanist to that of bandleader.	2013-08-21T00:00:00Z
"Seamus Heaney, Irish Poet of Soil and Strife, Dies at 74"	"Mr. Heaney, a widely celebrated Irish poet who won the Nobel Prize in Literature in 1995, is recognized as one of the major poets of the 20th century."	2013-08-31T00:00:00Z
"Tommy Morrison, Boxer and Co-Star in â€˜Rocky V,â€™ Dies at 44"	Mr. Morrison defeated George Foreman for the heavyweight title and starred as a boxing protÃ©gÃ© of Rocky Balboaâ€™s in â€œRocky V.â€ù	2013-09-03T00:00:00Z
"Johnny Logan, Shortstop for World Champion Milwaukee Braves, Dies at 86"	"Mr. Logan, a four-time All-Star, helped the Braves win Milwaukeeâ€™s only title, a 4-3 World Series victory over the Yankees in 1957."	2013-09-07T00:00:00Z
"Murray Gershenz, Record Store Owner and Character Actor, Dies at 91"	"Mr. Gershenz, a merchant of used music who became an archivist of 300,000 albums, had a late-blooming career in films and television."	2013-09-08T00:00:00Z
"William C. Campbell, a Leader in Golf, Dies at 90"	Mr. Campbell was a champion of golfâ€™s amateur era who later led his sportâ€™s two most prestigious governing organizations.	2013-09-09T00:00:00Z
"Kenneth Wallis, British Pilot of Bombers and Odder Flying Machines, Dies at 97"	"Mr. Wallis was an enthusiastic maker, flier and promoter of autogyros, buglike vehicles similar to helicopters."	2013-09-10T00:00:00Z
"E. Clay Shaw Jr., House Sponsor of Welfare Overhaul, Dies at 74"	"Mr. Shaw, a Florida Republican, sponsored and helped shepherd a contentious 1996 bill backed by President Bill Clinton to overhaul the nationâ€™s welfare system."	2013-09-12T00:00:00Z
"Lee Tanner, Jazz Performance Portraitist, Is Dead at 82"	"Mr. Tannerâ€™s often ethereal images, which graced album covers, magazines, exhibitions and books, included subjects like Duke Ellington, Dizzy Gillespie and Thelonious Monk."	2013-09-16T00:00:00Z
"Rick Casares, 82, a Bear Who Got Yards With Grit, Dies"	Casares led the National Football League in rushing in 1956 and is third on the Chicago Bearsâ€™ career rushing list.	2013-09-19T00:00:00Z
"Gates Brown, Tigersâ€™ Clutch Pinch-Hitter, Is Dead at 74"	"Mr. Brown hit .370, including .450 as a pinch-hitter, to help lead Detroit to the World Series in 1968."	2013-09-29T00:00:00Z
"Israel Gutman, Who Survived and Documented Holocaust, Dies at 90"	"Professor Gutman took part in the Warsaw ghetto uprising, survived three Nazi concentration camps and wrote about the Jews of Poland, the Jewish resistance and Auschwitz."	2013-10-02T00:00:00Z
