headline , snippet , date,name,age,day of death,month of death,year of death
"Robinson Risner, Ace Fighter Pilot, Dies at 88",Brig. Gen. Robinson Risner shot down eight MIG-15 fighters during the Korean War and was held captive at the “Hanoi Hilton” for seven and a half years.,2013-10-28T00:00:00Z,Robinson Risner,88,28,10,2013
"Sergiu Nicolaescu, Romanian Film Director, Dies at 82",Mr. Nicolaescu was a Social Democratic Party senator from 1992 until he stepped down last month.,2013-01-07T00:00:00Z,Sergiu Nicolaescu,82,7,1,2013
"Colin Davis, a British Conductor Known for His Exuberant Approach, Dies at 85","Mr. Davis, the longest-serving principal conductor of the London Symphony Orchestra, brought enthusiasm and authority to his music-making.",2013-04-16T00:00:00Z,Colin Davis,85,16,4,2013
Ray Williams Dies at 58- Itinerant in Pros and Life,"Mr. Williams played 10 well-traveled seasons with the National Basketball Association, but he became homeless and declared bankruptcy after his career until landing a job in his hometown.",2013-03-25T00:00:00Z,Ray Williams Dies at 58- Itinerant in Pros and Life,58,25,3,2013
"Paul Aussaresses, 95, Who Tortured Algerians, Dies",General Aussaresses stunned France in 2000 when he asserted that he had tortured and executed dozens of prisoners during his country’s war in Algeria four decades earlier.,2013-12-05T00:00:00Z,Paul Aussaresses,95,5,12,2013
"Johnny Logan, Shortstop for World Champion Milwaukee Braves, Dies at 86","Mr. Logan, a four-time All-Star, helped the Braves win Milwaukee’s only title, a 4-3 World Series victory over the Yankees in 1957.",2013-09-07T00:00:00Z,Johnny Logan,86,7,9,2013
"Tom Clancy, Spinner of Suspense","Mr. Clancy’s military thrillers were blockbuster hits on the best-seller list, at the box office and even in the gaming world. He died at 66 in Baltimore.",2013-10-02T22:22:00Z,"Tom Clancy,",,,,
"Bill Eppridge, Who Captured Powerful ’60s Images, Dies at 75",Mr. Eppridge made his most enduring mark with a historic image of a mortally wounded Senator Robert F. Kennedy lying on the floor of a Los Angeles hotel in June 1968.,2013-10-05T00:00:00Z,Bill Eppridge,,,,
"Sir Colin Davis, British Conductor, Dies at 85","Sir Colin left an indelible mark on the London Symphony Orchestra. He championed Sibelius and Berlioz, and  revived Mozart as a symphonic mainstay.",2013-04-14T22:24:11Z,Sir Colin Davis,85,14,4,2013
"Abraham Nemeth, Creator of a Braille Code for Math, Is Dead at 94","Told that blind people could not do math, Dr. Nemeth developed a customized code that even captured the complexities of differential calculus.",2013-10-07T00:00:00Z,Abraham Nemeth,94,7,10,2013
"Kalaparusha Maurice McIntyre, Tenor Saxophonist, Dies at 77",Mr. McIntyre was a founding member of the Association for the Advancement of Creative Musicians and occasionally performed in face paint and tribal costume.,2013-11-15T00:00:00Z,Kalaparusha Maurice McIntyre,77,15,11,2013
"Israel Gutman, Who Survived and Documented Holocaust, Dies at 90","Professor Gutman took part in the Warsaw ghetto uprising, survived three Nazi concentration camps and wrote about the Jews of Poland, the Jewish resistance and Auschwitz.",2013-10-02T00:00:00Z,Israel Gutman,90,2,10,2013
"Michael French, Who Battled a Rare Dementia, Dies at 73","Michael French, who struggled with the brain disease frontotemporal dementia, diagnosed in 2007, died at a Manhattan nursing home.",2013-12-10T00:00:00Z,Michael French,73,10,12,2013
"Mark B. Read, Criminal Turned Author, Dies at 58","Mr. Read, known as Chopper, based top-selling books and stand-up performance on his violent and varied life of crime.",2013-10-15T00:00:00Z,Mark B. Read,58,15,10,2013
