LAT,LON                                                                                                                  ,Urban,Rural,"Housing units, total","low access, people at 1 mile "
40.8326118,-73.8790757,1,0,942,0
40.824086,-73.9234467,1,0,1051,0
40.8377032,-73.8780437,1,0,360,0
40.8222516,-73.9226669,1,0,2077,0
40.8332811,-73.8754495,1,0,2343,0
40.8242061,-73.9287302,1,0,1900,0
40.8329646,-73.8721701,1,0,1311,0
40.8173917,-73.9216557,1,0,1814,0
40.8195023,-73.9181767,1,0,2287,0
40.8289603,-73.8705138,1,0,1017,0
40.8218666,-73.9157567,1,0,2558,0
40.8298152,-73.8656233,1,0,1492,0
40.8182206,-73.912832,1,0,616,0
40.8310452,-73.8606985,1,0,1762,0
40.8146752,-73.909389,1,0,1282,0
40.8194734,-73.8528608,1,0,1378,0
40.8187783,-73.9086255,1,0,1580,0
40.8333737,-73.8676538,1,0,1723,0
40.8197339,-73.9044231,1,0,576,0
40.8291526,-73.8528038,1,0,2082,0
40.815792,-73.9048714,1,0,2246,0
40.8136778,-73.90184,1,0,1964,0
40.8156088,-73.8477354,1,0,714,0
40.8162762,-73.8990831,1,0,1659,0
40.8198789,-73.849806,1,0,1446,0
40.819672,-73.8972847,1,0,1677,0
40.8185638,-73.893918,1,0,1139,0
40.8136183,-73.8446107,1,0,1167,0
40.8323343,-73.8521043,1,0,1783,0
40.8056822,-73.8856083,1,0,1706,0
40.8347812,-73.8437163,1,0,710,0
40.8254412,-73.8495151,1,0,1761,0
40.8137194,-73.8321026,1,0,43,0
40.8200863,-73.8865489,1,0,1365,0
40.8073631,-73.8748094,1,0,562,0
40.8082956,-73.7984474,1,0,1576,2382.38522
40.8232905,-73.8895984,1,0,1904,0
40.8282767,-73.8888784,1,0,906,0
40.8260142,-73.8879213,1,0,492,0
40.8301903,-73.8862025,1,0,1398,0
40.8286462,-73.8935164,1,0,1235,0
40.8256393,-73.8923237,1,0,789,0
40.8226294,-73.898734,1,0,1400,0
40.8193055,-73.8147485,1,0,424,0
40.825954,-73.8978818,1,0,1661,0
40.81378,-73.8187728,1,0,2186,0
40.8228226,-73.903485,1,0,2278,0
40.8271333,-73.9020964,1,0,1244,0
40.816146,-73.7980703,1,0,1279,30.45602798
40.8237658,-73.9122955,1,0,1202,0
40.8277474,-73.9121298,1,0,380,0
40.8212372,-73.8233669,1,0,2196,0
40.831511,-73.9070316,1,0,1949,0
40.8342262,-73.9053292,1,0,2016,0
40.836535,-73.9043915,1,0,1637,0
40.8326134,-73.9014781,1,0,1426,0
40.8310893,-73.8984757,1,0,1744,0
40.8262959,-73.8249969,1,0,901,0
40.8334461,-73.8941364,1,0,1381,0
40.8355959,-73.8899678,1,0,990,0
40.8329807,-73.8854505,1,0,1189,0
40.8248596,-73.818621,1,0,454,0
40.8223699,-73.8935569,1,0,681,0
40.8285742,-73.8135768,1,0,1550,0
40.836881,-73.8850118,1,0,1701,0
40.8288502,-73.8217593,1,0,580,0
40.8385749,-73.8950075,1,0,0,0
40.8321977,-73.8248492,1,0,443,0
40.8430508,-73.9002115,1,0,364,0
40.8294074,-73.830366,1,0,762,0
40.840487,-73.9022078,1,0,654,0
40.8377899,-73.9027246,1,0,471,0
40.8403719,-73.9075096,1,0,0,0
40.826296,-73.9165227,1,0,2020,0
40.8308225,-73.9136512,1,0,2470,0
40.8331958,-73.9111774,1,0,1243,0
40.8361778,-73.9095493,1,0,1590,0
40.834835,-73.9151866,1,0,1475,0
40.8370141,-73.9134989,1,0,1110,0
40.8316074,-73.9161112,1,0,1036,0
40.8322651,-73.9181383,1,0,1637,0
40.8286371,-73.9208133,1,0,1942,0
40.8279119,-73.9187521,1,0,1255,0
